TesterID:	Maccor#2				
Channel Number:	47				
TestName:	KAI_Zelltest_regulaer_fix_no_degass.000				
TestDesc:	Regular cycling: formation, followed by pulse, C-rate quick charge and cycling t				
StartDateTime:	44888,6351560069				
Comment:					
					
					
Cycle	AH-IN	AH-OUT	WH-IN	WH-OUT	Date
172	0,397141252398	0,397040331925	1,532452508258	1,43494029156	44910,2784721065
173	0,397148497816	0,397053253774	1,532493137846	1,434911158718	44910,3809363657
174	0,396997175325	0,396908622194	1,531882718769	1,434421844972	44910,4834006597
175	0,397006214436	2,5866E-8	1,531950254519	8,2357E-8	44910,5930360069
176	5,72213321126116E-14	0,227951951436	2,14196176945024E-13	0,799859089576	44910,8548602778
177	0,403058782939	0,39742913074	1,552812375646	1,436261011961	44910,958246713
178	0,397444985094	0,397194055337	1,533575642138	1,435406580393	44911,0608056944
179	0,397203559495	0,397020936225	1,532655885371	1,434776462282	44911,1632553819
180	0,397054742036	0,396905977931	1,532106971258	1,434365075432	44911,2657801389
181	0,396900629231	0,396767790959	1,531528482144	1,433795821056	44911,3682482176
182	0,396900597602	0,396792307757	1,531503672705	1,433921156801	44911,4706289699
183	0,005104155488		0,016965421216		44911,4780441782
